room_id,room_number,room_type,department_id,capacity,daily_rate
145,3F145,Semi-Private,9,2,470.41
146,2G146,Private,2,1,875.24
147,5H147,General Ward,5,4,200.23
148,3I148,Icu,1,1,1557.4
149,2J149,Semi-Private,9,3,371.89
150,3K150,Private,4,1,898.92
151,3L151,Semi-Private,10,3,470.08
152,6M152,Isolation,7,1,1316.08
153,1N153,Maternity,9,4,606.65
154,2O154,Private,12,1,542.81
155,6P155,Private,10,1,703.21
156,7Q156,General Ward,10,4,136.05
157,4R157,Private,5,1,822.95
158,4S158,General Ward,7,3,218.94
159,1T159,Private,3,1,647.12
160,6A160,Semi-Private,3,3,310.83
161,5B161,Semi-Private,6,4,342.26
162,5C162,General Ward,7,4,151.56
163,6D163,Private,5,1,775.19
164,6E164,General Ward,7,3,168.06
165,3F165,Semi-Private,10,3,307.63
166,6G166,Isolation,7,1,834.81
167,6H167,General Ward,8,2,180.38
168,2I168,Maternity,9,4,476.62
169,4J169,General Ward,12,4,141.47
170,5K170,Icu,7,1,3453.21
171,5L171,Maternity,9,4,513.2
172,1M172,Private,12,1,916.31
173,2N173,General Ward,11,3,154.13
174,1O174,Semi-Private,2,3,427.0
175,3P175,General Ward,5,2,106.83
176,5Q176,Semi-Private,4,2,323.03
177,6R177,Semi-Private,1,2,467.12
178,1S178,General Ward,7,3,230.91
179,5T179,Private,8,1,642.17
180,4A180,General Ward,10,3,151.11
181,3B181,Semi-Private,2,2,485.27
182,1C182,General Ward,10,3,223.32
183,4D183,Private,8,1,745.87
184,6E184,General Ward,8,4,202.97
185,2F185,Semi-Private,11,2,452.79
186,1G186,General Ward,7,3,249.09
187,5H187,General Ward,5,2,214.67
188,5I188,Maternity,9,4,716.3
189,7J189,General Ward,5,2,178.39
190,4K190,Private,1,1,954.25
191,7L191,Maternity,9,3,635.41
192,3M192,General Ward,5,3,185.29
193,5N193,Maternity,9,2,784.04
194,7O194,General Ward,5,2,131.17
195,3P195,Semi-Private,10,2,415.11
196,2Q196,General Ward,3,2,126.07
197,2R197,General Ward,12,2,100.4
198,6S198,Maternity,9,3,637.52
199,3T199,Private,2,1,516.32
200,3A200,Isolation,7,1,1194.87
201,7B201,General Ward,12,4,168.1
202,6C202,Icu,6,1,1966.85
203,7D203,Semi-Private,3,3,447.81
204,6E204,Semi-Private,6,4,450.98
205,2F205,Icu,7,1,2350.28
206,2G206,Semi-Private,8,4,411.91
207,3H207,Private,8,1,913.32
208,1I208,General Ward,5,2,124.89
209,5J209,Semi-Private,3,3,437.24
210,3K210,Semi-Private,8,4,359.79
211,4L211,Private,6,1,844.34
212,6M212,Icu,2,1,2305.02
213,5N213,General Ward,11,3,181.0
214,4O214,Private,8,1,540.22
215,1P215,Private,8,1,944.71
216,3Q216,Semi-Private,9,4,400.93
217,1R217,General Ward,7,2,134.34
218,7S218,Semi-Private,9,4,465.13
219,1T219,Semi-Private,6,4,499.89
220,6A220,Private,1,1,910.71
221,1B221,General Ward,5,4,214.47
222,4C222,Semi-Private,6,2,379.74
223,3D223,General Ward,8,3,127.22
224,4E224,Semi-Private,2,4,408.7
225,4F225,Private,2,1,984.53
226,4G226,Private,4,1,673.98
227,3H227,Private,4,1,660.53
228,7I228,General Ward,8,2,124.12
229,4J229,Private,3,1,846.84
230,3K230,Icu,7,1,2825.17
231,7L231,Semi-Private,6,3,440.12
232,4M232,General Ward,7,2,113.21
233,3N233,Semi-Private,10,3,278.98
234,7O234,General Ward,5,3,177.19
235,6P235,Semi-Private,9,2,467.34
236,4Q236,Semi-Private,6,3,263.55
237,3R237,General Ward,5,4,193.4
238,6S238,General Ward,12,3,166.31
239,1T239,Private,3,1,601.78
240,2A240,Semi-Private,1,4,481.92
241,6B241,Maternity,9,3,593.88
242,6C242,Semi-Private,1,2,402.22
243,2D243,Private,9,1,854.89
244,5E244,Semi-Private,6,3,253.42
245,4F245,Private,11,1,546.6
246,4G246,Semi-Private,8,2,486.77
247,7H247,General Ward,7,4,123.1
248,3I248,General Ward,11,4,176.33
249,4J249,General Ward,5,3,225.21
250,2K250,Semi-Private,12,3,364.2
251,4L251,Semi-Private,2,2,297.65
252,5M252,Icu,6,1,2516.48
253,7N253,Semi-Private,4,2,267.45
254,3O254,General Ward,7,3,240.14
255,3P255,Semi-Private,2,4,455.14
256,6Q256,General Ward,10,3,144.78
257,5R257,Semi-Private,10,4,499.73
258,7S258,General Ward,12,3,122.29
259,5T259,Icu,2,1,2468.68
260,3A260,Icu,7,1,2603.83
